MARKET,NAME,SYMBOL,DATEDEAL,OPEN,HIGH,LOW,CLOSE,DIFF,VOLUME
KOSPI,삼성전자,005930,2016-07-25,30000,30460,29900,30040,-0.92,154650
KOSPI,삼성전자,005930,2016-07-26,30000,30619,29960,30600,1.86,144570
KOSPI,삼성전자,005930,2016-07-27,30240,30580,30240,30540,-0.2,126701
KOSPI,삼성전자,005930,2016-07-28,30660,30720,29960,30140,-1.31,190074
KOSPI,삼성전자,005930,2016-07-29,30400,31140,30220,30780,2.12,299712
KOSPI,삼성전자,005930,2016-08-01,31380,31600,31200,31360,1.88,230308
KOSPI,삼성전자,005930,2016-08-02,31360,31360,30920,30960,-1.28,166316
KOSPI,삼성전자,005930,2016-08-03,30960,30960,30340,30340,-2,150098
KOSPI,삼성전자,005930,2016-08-04,30380,30660,30340,30340,0,140199
KOSPI,삼성전자,005930,2016-08-05,30580,31280,30500,31220,2.9,139177
KOSPI,삼성전자,005930,2016-08-08,31320,31500,31120,31380,0.51,222503
KOSPI,삼성전자,005930,2016-08-09,31480,31580,31140,31340,-0.13,180464
KOSPI,삼성전자,005930,2016-08-10,31340,31400,30680,30820,-1.66,246807
KOSPI,삼성전자,005930,2016-08-11,30820,31180,30520,31180,1.17,210672
KOSPI,삼성전자,005930,2016-08-12,31180,31400,30880,30900,-0.9,209497
KOSPI,삼성전자,005930,2016-08-16,30900,31520,30900,31360,1.49,216862
KOSPI,삼성전자,005930,2016-08-17,31380,31399,31020,31320,-0.13,148929
KOSPI,삼성전자,005930,2016-08-18,31340,32880,31320,32800,4.73,366541
KOSPI,삼성전자,005930,2016-08-19,32760,33500,32720,33500,2.13,336103
KOSPI,삼성전자,005930,2016-08-22,33480,33840,33180,33300,-0.6,252244
KOSPI,삼성전자,005930,2016-08-23,33300,33880,33140,33740,1.32,230914
KOSPI,삼성전자,005930,2016-08-24,33600,33640,32720,33060,-2.02,318771
KOSPI,삼성전자,005930,2016-08-25,32600,33180,32440,32780,-0.85,283476
KOSPI,삼성전자,005930,2016-08-26,32120,32460,32060,32240,-1.65,241160
KOSPI,삼성전자,005930,2016-08-29,32040,32800,31940,32800,1.74,178515
KOSPI,삼성전자,005930,2016-08-30,32940,33420,32660,32900,0.3,156992
KOSPI,삼성전자,005930,2016-08-31,32820,32820,32220,32400,-1.52,410644
KOSPI,삼성전자,005930,2016-09-01,31660,31760,31260,31740,-2.04,375803
KOSPI,삼성전자,005930,2016-09-02,31900,32260,31760,31940,0.63,163060
KOSPI,삼성전자,005930,2016-09-05,31800,32300,31700,32120,0.56,167676
KOSPI,삼성전자,005930,2016-09-06,32140,32900,31940,32860,2.3,153203
KOSPI,삼성전자,005930,2016-09-07,32960,33040,32420,32420,-1.34,191837
KOSPI,삼성전자,005930,2016-09-08,32460,32780,32280,32780,1.11,241417
KOSPI,삼성전자,005930,2016-09-09,32220,32360,31280,31500,-3.9,265168
KOSPI,삼성전자,005930,2016-09-12,29800,30119,29119,29300,-6.98,529987
KOSPI,삼성전자,005930,2016-09-13,30159,30980,29900,30540,4.23,494345
KOSPI,삼성전자,005930,2016-09-19,30760,31380,30720,31160,2.03,448163
KOSPI,삼성전자,005930,2016-09-20,31180,31759,31180,31700,1.73,258423
KOSPI,삼성전자,005930,2016-09-21,31900,32019,31520,31840,0.44,210181
KOSPI,삼성전자,005930,2016-09-22,32000,32820,31980,32360,1.63,228599
KOSPI,삼성전자,005930,2016-09-23,31640,31960,31320,31420,-2.9,365993
KOSPI,삼성전자,005930,2016-09-26,31420,31920,31280,31360,-0.19,290496
KOSPI,삼성전자,005930,2016-09-27,31000,31500,30660,31380,0.06,196688
KOSPI,삼성전자,005930,2016-09-28,31080,31460,31080,31340,-0.13,174128
KOSPI,삼성전자,005930,2016-09-29,31459,32380,31440,32000,2.11,227951
KOSPI,삼성전자,005930,2016-09-30,31800,32300,31700,31960,-0.12,235254
KOSPI,삼성전자,005930,2016-10-04,32200,32480,32120,32280,1,261062
KOSPI,삼성전자,005930,2016-10-05,32020,32520,31940,32380,0.31,249409
KOSPI,삼성전자,005930,2016-10-06,33920,34000,33340,33820,4.45,591163
KOSPI,삼성전자,005930,2016-10-07,34000,34320,33800,34120,0.89,521011
KOSPI,삼성전자,005930,2016-10-10,33000,33780,32560,33600,-1.52,505866
KOSPI,삼성전자,005930,2016-10-11,31999,32500,30900,30900,-8.04,768543
KOSPI,삼성전자,005930,2016-10-12,29900,30900,29880,30700,-0.65,781771
KOSPI,삼성전자,005930,2016-10-13,31000,31620,30900,31140,1.43,437291
KOSPI,삼성전자,005930,2016-10-14,30960,31760,30940,31540,1.28,283179
KOSPI,삼성전자,005930,2016-10-17,31299,32040,30760,31800,0.82,255704
KOSPI,삼성전자,005930,2016-10-18,31439,31900,31439,31780,-0.06,207690
KOSPI,삼성전자,005930,2016-10-19,31580,32860,31500,32500,2.27,308891
KOSPI,삼성전자,005930,2016-10-20,32520,33020,32179,32400,-0.31,206609
KOSPI,삼성전자,005930,2016-10-21,32120,32260,31760,31780,-1.91,209550
KOSPI,삼성전자,005930,2016-10-24,31860,32159,31800,32160,1.2,185799
KOSPI,삼성전자,005930,2016-10-25,31999,32080,31840,31940,-0.68,197322
KOSPI,삼성전자,005930,2016-10-26,31939,31980,31240,31340,-1.88,210680
KOSPI,삼성전자,005930,2016-10-27,31420,32340,31120,31460,0.38,282340
KOSPI,삼성전자,005930,2016-10-28,31600,32280,31600,32280,2.61,204284
KOSPI,삼성전자,005930,2016-10-31,32320,32780,32220,32780,1.55,241344
KOSPI,삼성전자,005930,2016-11-01,32600,33040,32240,33040,0.79,206948
KOSPI,삼성전자,005930,2016-11-02,32800,33040,32620,32860,-0.54,201985
KOSPI,삼성전자,005930,2016-11-03,32600,32800,32120,32320,-1.64,206837
KOSPI,삼성전자,005930,2016-11-04,32100,32680,32100,32540,0.68,142077
KOSPI,삼성전자,005930,2016-11-07,32940,33000,32680,32800,0.8,153238
KOSPI,삼성전자,005930,2016-11-08,32980,32980,32700,32880,0.24,108349
KOSPI,삼성전자,005930,2016-11-09,32920,33140,31820,31920,-2.92,313672
KOSPI,삼성전자,005930,2016-11-10,32600,33000,32360,32980,3.32,235907
KOSPI,삼성전자,005930,2016-11-11,31700,32360,31700,31960,-3.09,256736
KOSPI,삼성전자,005930,2016-11-14,31899,31919,31040,31060,-2.82,302666
KOSPI,삼성전자,005930,2016-11-15,31060,31620,30780,30780,-0.9,273314
KOSPI,삼성전자,005930,2016-11-16,30800,31280,30800,31160,1.23,266164
KOSPI,삼성전자,005930,2016-11-17,31100,31520,30900,31360,0.64,157411
KOSPI,삼성전자,005930,2016-11-18,31639,31760,31400,31720,1.15,189215
KOSPI,삼성전자,005930,2016-11-21,31300,32119,31300,31860,0.44,163604
